ALDMDS_Axe1,ALDMDS_Axe2,ALD30_Axe1,ALD30_Axe2
-1.83224762996473,1.24809468223473,-2.47587528455214,-1.16916214804546
-1.65078444828917,1.33318151252498,-2.20548801666804,-1.18179790842425
-1.73840359617539,1.29209750034393,-1.99761160437892,-1.14560394051919
-1.7216822895034,1.29993800534276,-2.43712772525584,-1.18806472766414
-1.75124217950225,1.28607757745592,-2.30402892841414,-1.17025504276268
-1.74764025508959,1.28776649489024,-2.34589567126828,-1.17470579681115
-1.74157453789602,1.29061066771181,-2.56642415703535,-1.19554083283744
-1.75124217950225,1.28607757745592,-2.40275632702618,-1.17903371027642
-1.56156690003256,1.3750150035799,-1.64839562959808,-1.1502952649649
-1.74157453789602,1.29061066771181,-1.92232871280451,-1.13826899308967
-1.75124217950225,1.28607757745592,-2.31875912643085,-1.17156482619279
-1.75124217950225,1.28607757745592,-1.95067953551321,-1.1388358330998
-1.62282375671159,1.34629208733742,-1.81050001804394,-1.15232780271241
-1.7120748076938,1.30444288708628,-2.43285754058987,-1.1896269360899
-1.77462811128556,1.2751120758569,-1.98206809183566,-1.13689998292783
-1.76784101461203,1.27829449852519,-1.83962771633688,-1.12560627133839
-1.75124217950225,1.28607757745592,-2.1211289697066,-1.15399189850542
-1.77655580466571,1.27420819376923,-2.5185459945118,-1.18421302548612
-1.48973204044725,1.40869787219282,-1.64331894510424,-1.16436342755255
-1.75124217950225,1.28607757745592,-2.1747889767675,-1.15876325242941
-1.67030283313244,1.32402947692545,-2.25289186639246,-1.18206783542894
-1.82050001352017,1.25360305830036,-2.18341249226006,-1.14553134740001
-1.70250553603717,1.30892985235345,-2.15137979968417,-1.16653261052074
-1.79426763107228,1.26590324092056,-2.72418445908978,-1.19891804694058
-1.47800804229937,1.41419517380255,-1.98147105246172,-1.19680102638909
-1.82148529982049,1.25314106437162,-1.81888678202708,-1.11291920883013
-1.68835592445875,1.31556450731722,-1.82808206920549,-1.14064552277675
-1.77147464053007,1.27659071647436,-1.83023219417553,-1.12403639376461
-1.85794786101102,1.23604402172462,-2.30899707630109,-1.14912898795436
-1.74027851392767,1.29121836438299,-1.82228701403646,-1.12963541827554
-1.70677212733879,1.30692927721393,-1.72171474222209,-1.12746516362995
-1.75124217950225,1.28607757745592,-2.26685271437195,-1.16694939886762
-1.86702985574761,1.23178553723365,-2.37362447952533,-1.15303985149878
-1.75124217950225,1.28607757745592,-2.0513358886274,-1.14778601987225
-1.48004263625405,1.41324116677516,-2.01862529423732,-1.19969347561938
-1.62611214144942,1.34475018648715,-2.00542544529845,-1.16899556804383
-1.65078444828917,1.33318151252498,-1.81426097172412,-1.14701068422679
-1.74063386517617,1.29105174264136,-2.4129797190537,-1.18208695477492
-1.75124217950225,1.28607757745592,-3.05982837427173,-1.23745940685548
-1.71675019909324,1.30225062840949,-3.00242335601776,-1.2393267213401
-1.75124217950225,1.28607757745592,-2.53357451417459,-1.19066583454863
-1.75124217950225,1.28607757745592,-2.63440622678901,-1.19963161398097
-1.8419773909858,1.24353246461505,-2.18442860212242,-1.14128059769269
-1.85179952193275,1.23892693537625,-3.05044119739988,-1.21629963057579
-1.75361392516562,1.28496548232517,-2.75271720338072,-1.20967223148709
-1.75124217950225,1.28607757745592,-1.6432743316644,-1.11150190032609
-1.75124217950225,1.28607757745592,-2.26948310687494,-1.16718328876586
-1.75124217950225,1.28607757745592,-2.57495935622155,-1.19434570228086
-1.72954023794996,1.29625346768764,-1.85142593596049,-1.13439686700174
-1.8690611708588,1.23083306763328,-2.91335597567995,-1.20062125342303
-1.72632259003938,1.29776220052905,-2.02517352813981,-1.15049656375504
-1.75124217950225,1.28607757745592,-2.14199675023029,-1.15584742503141
-1.83864770208905,1.24509373269963,-1.98718478784355,-1.12441503401942
-1.65759593462878,1.32998765371103,-2.1298040338417,-1.17369145403959
-1.86075599664774,1.23472730635489,-2.44332406757872,-1.16050551642997
-1.77227598902611,1.27621496970933,-3.06972279071719,-1.23408775650341
-1.66358175578533,1.32718094358839,-2.54400205391537,-1.2093113370874
-1.75124217950225,1.28607757745592,-2.09307144967477,-1.15149707292424
-1.65766885393346,1.32995346235361,-2.66927820218846,-1.22164581425552
-1.75124217950225,1.28607757745592,-2.1211289697066,-1.15399189850542
-1.75124217950225,1.28607757745592,-2.13305341572013,-1.15505219937741
-1.66406815153385,1.32695287598742,-1.88984092820491,-1.15104616214496
-1.48148442168666,1.41256512356194,-2.26074524325326,-1.22093093787411
-1.84937842106595,1.24006217282038,-4.09348993102912,-1.30953506203505
-1.72892625906004,1.29654135814082,-2.57228050011573,-1.19861809343492
-1.78611870735619,1.26972421486622,-2.4771809260528,-1.17860202073756
-1.64762892778391,1.33466111425592,-1.96614580722116,-1.1611538254554
-1.72034000781007,1.30056739194112,-2.61543776098446,-1.2041910517833
-1.40870664205857,1.44669012085857,-1.47899435070197,-1.1661291761215
-1.75124217950225,1.28607757745592,-1.50000562000182,-1.09876269720223
-1.78350211852431,1.27095111526454,-4.1145151385875,-1.32471978986716
-1.67550260378274,1.32159134044627,-1.76237491428926,-1.13740092631043
-1.61268503568629,1.35104606347337,-2.06193214379518,-1.17673398947466
-1.5545690592605,1.37829624269779,-2.25682246742859,-1.20580994849176
-1.75124217950225,1.28607757745592,-2.35049919596686,-1.17438709763149
-1.699434467459,1.31036985516012,-2.28002097667456,-1.17859189652211
-1.83911472006548,1.24487475120192,-2.1191421391458,-1.13605405508154
-1.74701492342015,1.28805970858318,-2.04176226616719,-1.14778918139796
-1.75124217950225,1.28607757745592,-2.43677607006476,-1.18205868629359
-1.77259407083878,1.27606582334827,-2.72158159523268,-1.20306735856896
-1.82467316118855,1.25164629823389,-2.2921888771517,-1.15436005853359
-1.75124217950225,1.28607757745592,-2.20442473230112,-1.16139841194952
-1.70870325229657,1.30602378608325,-2.38515613938804,-1.18606688432956
-1.74052467822124,1.29110293964903,-2.14527878310753,-1.15830552536104
-1.75124217950225,1.28607757745592,-1.97330091103888,-1.14084728622462
-1.75124217950225,1.28607757745592,-2.24616029334847,-1.16510946500151
-1.65501771635615,1.33119656241961,-1.84628624511712,-1.14900266904374
-1.7985224583104,1.26390818186901,-2.13072260223188,-1.1452884530918
-1.74273639918145,1.29006587899433,-2.73761186043971,-1.21052770342154
-1.75124217950225,1.28607757745592,-1.83371474888047,-1.12843552895829
-0.603429072696151,1.82427920117895,-1.01041128095419,-1.28722977453109
-1.848004937057,1.24070618996863,-2.07171043198541,-1.13003958157882
-1.84447748851969,1.24236018618032,-4.10432802577411,-1.311489364135
-1.63422303338899,1.34094704537835,-2.08965971576439,-1.17484612340891
-1.72063337139444,1.30042983578628,-2.94433642789132,-1.23337684976263
-1.75124217950225,1.28607757745592,-1.94857522151081,-1.13864872118121
-1.75124217950225,1.28607757745592,-2.12463615971059,-1.15430375170306
-1.41344543176133,1.44446813515604,-1.78277458572807,-1.1921829583422
-1.75124217950225,1.28607757745592,-3.04369530025343,-1.23602488214631
-1.44504762023363,1.42965008764627,-2.0905148214038,-1.21315911055339
-0.850696783628737,1.70833708244108,-0.910039226289017,-1.22832604796911
-1.59562836435069,1.35904381864248,-2.1090747036087,-1.18437339157136
-1.67609135739035,1.32131527795343,-1.73329098516222,-1.13469583280331
-1.81541153978308,1.25598900842702,-2.57881355201738,-1.18171822200847
-1.71945464705244,1.3009825314743,-2.24547618299901,-1.17147366863899
-1.65238783038267,1.33242969775561,-2.08739565393567,-1.17097325966619
-1.75124217950225,1.28607757745592,-2.04256791361747,-1.14700638687814
-1.86515392806105,1.23266514674577,-2.39466294688048,-1.15528972581609
-1.3372998077497,1.480172291381,-1.77856757816659,-1.20719976142969
-1.7431202830508,1.2898858785042,-2.24784186368186,-1.16690062012896
-1.61865241356385,1.34824800127663,-1.846572271656,-1.15637841429505
-1.70446719551544,1.30801004379739,-2.05361422585192,-1.15744296768576
-1.39566116271368,1.45280705585786,-1.86430708350812,-1.2030273187375
-1.75124217950225,1.28607757745592,-2.21073767430829,-1.16195974770528
-1.66883153846948,1.32471935681259,-2.06913897256014,-1.16602623411329
-1.8305295298328,1.24890028749855,-2.40850513276316,-1.16351898187377
-1.75124217950225,1.28607757745592,-2.34471233246031,-1.17387253985538
-1.76490691026111,1.27967027975341,-2.38277176599464,-1.17449474360423
-1.70093026076087,1.30966848803071,-3.77040046854981,-1.3108114965963
-1.68888386089204,1.3153169615766,-2.26890459794996,-1.17973598180762
-1.72134682003242,1.30009530465649,-1.80639589354227,-1.13204896349568
-1.61684133524297,1.34909720336991,-1.44137257597759,-1.12071482942883
-1.74568662149997,1.28868254016264,-2.33564731547507,-1.17418940781858
